Date,High,Low,Open,Close,Volume,Adj Close
2017-11-08,15.850000381469727,14.630000114440918,14.850000381469727,15.100000381469727,1100100.0,15.100000381469727
2017-11-09,15.229999542236328,14.5,14.899999618530273,14.800000190734863,857400.0,14.800000190734863
2017-11-10,15.399999618530273,14.699999809265137,14.850000381469727,15.25,631700.0,15.25
2017-11-13,15.300000190734863,14.550000190734863,15.300000190734863,14.699999809265137,439000.0,14.699999809265137
2017-11-14,15.149999618530273,14.350000381469727,14.600000381469727,15.100000381469727,538800.0,15.100000381469727
2017-11-15,17.399999618530273,14.6899995803833,15.199999809265137,16.75,1407400.0,16.75
2017-11-16,16.899999618530273,15.600000381469727,16.799999237060547,16.100000381469727,723200.0,16.100000381469727
2017-11-17,16.0,15.350000381469727,16.0,15.399999618530273,399900.0,15.399999618530273
2017-11-20,15.850000381469727,14.399999618530273,15.449999809265137,14.699999809265137,704600.0,14.699999809265137
2017-11-21,16.399999618530273,14.949999809265137,14.949999809265137,16.149999618530273,935100.0,16.149999618530273
2017-11-22,16.350000381469727,15.800000190734863,16.100000381469727,16.149999618530273,500300.0,16.149999618530273
2017-11-24,17.25,16.010000228881836,16.299999237060547,16.75,465500.0,16.75
2017-11-27,16.850000381469727,15.899999618530273,16.75,16.649999618530273,949500.0,16.649999618530273
2017-11-28,17.5,16.350000381469727,16.649999618530273,17.350000381469727,747300.0,17.350000381469727
2017-11-29,17.700000762939453,16.549999237060547,17.450000762939453,16.649999618530273,1068400.0,16.649999618530273
2017-11-30,17.40999984741211,16.149999618530273,16.75,17.299999237060547,862100.0,17.299999237060547
2017-12-01,17.549999237060547,16.25,17.450000762939453,16.549999237060547,638100.0,16.549999237060547
2017-12-04,16.850000381469727,15.25,16.700000762939453,15.300000190734863,737200.0,15.300000190734863
2017-12-05,15.850000381469727,15.109999656677246,15.25,15.25,467500.0,15.25
2017-12-06,15.739999771118164,14.699999809265137,15.550000190734863,14.800000190734863,625100.0,14.800000190734863
2017-12-07,16.399999618530273,14.699999809265137,14.800000190734863,15.800000190734863,711600.0,15.800000190734863
2017-12-08,16.350000381469727,15.550000190734863,15.949999809265137,16.200000762939453,575600.0,16.200000762939453
2017-12-11,16.329999923706055,15.399999618530273,16.299999237060547,15.550000190734863,681700.0,15.550000190734863
2017-12-12,16.049999237060547,15.350000381469727,15.5,15.449999809265137,459900.0,15.449999809265137
2017-12-13,16.200000762939453,15.449999809265137,15.550000190734863,16.0,498500.0,16.0
2017-12-14,16.75,15.75,16.0,16.100000381469727,485100.0,16.100000381469727
2017-12-15,17.6299991607666,15.899999618530273,16.200000762939453,16.5,4610800.0,16.5
2017-12-18,17.25,14.5,16.649999618530273,15.199999809265137,1262000.0,15.199999809265137
2017-12-19,15.850000381469727,14.65999984741211,15.199999809265137,15.329999923706055,606200.0,15.329999923706055
2017-12-20,15.59000015258789,14.829999923706055,15.449999809265137,15.100000381469727,654900.0,15.100000381469727
2017-12-21,15.199999809265137,14.75,15.050000190734863,14.949999809265137,435200.0,14.949999809265137
2017-12-22,16.049999237060547,14.75,15.0,15.850000381469727,740400.0,15.850000381469727
2017-12-26,16.399999618530273,15.649999618530273,15.899999618530273,16.200000762939453,550800.0,16.200000762939453
2017-12-27,16.200000762939453,15.75,16.049999237060547,16.100000381469727,443600.0,16.100000381469727
2017-12-28,16.25,15.829999923706055,16.100000381469727,16.100000381469727,407500.0,16.100000381469727
2017-12-29,16.450000762939453,15.800000190734863,16.0,15.850000381469727,603400.0,15.850000381469727
2018-01-02,17.200000762939453,15.59000015258789,15.899999618530273,17.200000762939453,641100.0,17.200000762939453
2018-01-03,17.700000762939453,16.950000762939453,17.25,17.299999237060547,632400.0,17.299999237060547
2018-01-04,17.5,16.559999465942383,17.399999618530273,16.799999237060547,443300.0,16.799999237060547
2018-01-05,16.899999618530273,15.5,16.899999618530273,15.649999618530273,527400.0,15.649999618530273
2018-01-08,15.710000038146973,15.050000190734863,15.649999618530273,15.25,453600.0,15.25
2018-01-09,16.25,15.199999809265137,15.350000381469727,16.100000381469727,806500.0,16.100000381469727
2018-01-10,16.25,15.600000381469727,16.100000381469727,16.0,621600.0,16.0
2018-01-11,16.149999618530273,15.699999809265137,16.0,15.850000381469727,467300.0,15.850000381469727
2018-01-12,15.949999809265137,15.449999809265137,15.899999618530273,15.699999809265137,364100.0,15.699999809265137
2018-01-16,15.899999618530273,14.75,15.850000381469727,14.850000381469727,646500.0,14.850000381469727
2018-01-17,15.550000190734863,14.850000381469727,15.0,15.25,590500.0,15.25
2018-01-18,15.399999618530273,14.550000190734863,15.25,14.550000190734863,432100.0,14.550000190734863
2018-01-19,14.930000305175781,14.25,14.649999618530273,14.600000381469727,422200.0,14.600000381469727
2018-01-22,14.899999618530273,14.199999809265137,14.699999809265137,14.850000381469727,965600.0,14.850000381469727
2018-01-23,16.450000762939453,15.050000190734863,15.600000381469727,15.399999618530273,1090700.0,15.399999618530273
2018-01-24,16.049999237060547,15.050000190734863,15.5,15.399999618530273,689000.0,15.399999618530273
2018-01-25,17.100000381469727,15.100000381469727,15.600000381469727,17.0,1342500.0,17.0
2018-01-26,17.200000762939453,16.100000381469727,17.200000762939453,16.25,964700.0,16.25
2018-01-29,18.450000762939453,16.200000762939453,17.0,16.299999237060547,2291600.0,16.299999237060547
2018-01-30,16.049999237060547,14.729999542236328,16.049999237060547,15.300000190734863,1409500.0,15.300000190734863
2018-01-31,15.65999984741211,15.050000190734863,15.5,15.25,996300.0,15.25
2018-02-01,15.899999618530273,14.800000190734863,15.25,15.649999618530273,780100.0,15.649999618530273
